2026-05-26 09:21:48.810 | INFO     | __main__:train:103 - Run dir: experiments\20260526_092148_embedding
2026-05-26 09:21:48.810 | INFO     | __main__:train:107 - Loading instance index from data\instance_index
2026-05-26 09:21:52.797 | INFO     | __main__:train:114 - Train: 27904 instances → 436 batches/epoch | Val: 3359 instances
2026-05-26 09:21:53.015 | INFO     | __main__:train:143 - Backbone frozen for first 5 epochs
2026-05-26 09:26:18.646 | INFO     | __main__:train:203 - Epoch   1/50 | train_loss=0.2076 | val_loss=0.1490 | val_AUC=0.8956 | lr=9.99e-05
2026-05-26 09:26:18.679 | SUCCESS  | __main__:train:215 -   New best AUC=0.8956 → experiments\20260526_092148_embedding\best.pt
2026-05-26 09:30:32.329 | INFO     | __main__:train:203 - Epoch   2/50 | train_loss=0.1360 | val_loss=0.1366 | val_AUC=0.8986 | lr=9.96e-05
2026-05-26 09:30:32.357 | SUCCESS  | __main__:train:215 -   New best AUC=0.8986 → experiments\20260526_092148_embedding\best.pt
2026-05-26 09:35:06.739 | INFO     | __main__:train:203 - Epoch   3/50 | train_loss=0.1252 | val_loss=0.1269 | val_AUC=0.9145 | lr=9.91e-05
2026-05-26 09:35:06.772 | SUCCESS  | __main__:train:215 -   New best AUC=0.9145 → experiments\20260526_092148_embedding\best.pt
2026-05-26 09:39:41.897 | INFO     | __main__:train:203 - Epoch   4/50 | train_loss=0.1142 | val_loss=0.1203 | val_AUC=0.9148 | lr=9.84e-05
2026-05-26 09:39:41.929 | SUCCESS  | __main__:train:215 -   New best AUC=0.9148 → experiments\20260526_092148_embedding\best.pt
2026-05-26 09:44:15.923 | INFO     | __main__:train:203 - Epoch   5/50 | train_loss=0.1107 | val_loss=0.1167 | val_AUC=0.9178 | lr=9.76e-05
2026-05-26 09:44:15.988 | SUCCESS  | __main__:train:215 -   New best AUC=0.9178 → experiments\20260526_092148_embedding\best.pt
2026-05-26 09:44:15.990 | INFO     | __main__:train:178 - Epoch 6: backbone unfrozen, optimizer rebuilt
2026-05-26 09:49:02.445 | INFO     | __main__:train:203 - Epoch   6/50 | train_loss=0.0952 | val_loss=0.1021 | val_AUC=0.9288 | lr=9.99e-05
2026-05-26 09:49:02.476 | SUCCESS  | __main__:train:215 -   New best AUC=0.9288 → experiments\20260526_092148_embedding\best.pt
2026-05-26 09:53:48.380 | INFO     | __main__:train:203 - Epoch   7/50 | train_loss=0.0830 | val_loss=0.0861 | val_AUC=0.9430 | lr=9.95e-05
2026-05-26 09:53:48.412 | SUCCESS  | __main__:train:215 -   New best AUC=0.9430 → experiments\20260526_092148_embedding\best.pt
2026-05-26 09:58:34.495 | INFO     | __main__:train:203 - Epoch   8/50 | train_loss=0.0745 | val_loss=0.0781 | val_AUC=0.9512 | lr=9.89e-05
2026-05-26 09:58:34.527 | SUCCESS  | __main__:train:215 -   New best AUC=0.9512 → experiments\20260526_092148_embedding\best.pt
2026-05-26 10:03:23.600 | INFO     | __main__:train:203 - Epoch   9/50 | train_loss=0.0678 | val_loss=0.0768 | val_AUC=0.9524 | lr=9.81e-05
2026-05-26 10:03:23.633 | SUCCESS  | __main__:train:215 -   New best AUC=0.9524 → experiments\20260526_092148_embedding\best.pt
2026-05-26 10:08:06.314 | INFO     | __main__:train:203 - Epoch  10/50 | train_loss=0.0634 | val_loss=0.0726 | val_AUC=0.9558 | lr=9.70e-05
2026-05-26 10:08:06.376 | SUCCESS  | __main__:train:215 -   New best AUC=0.9558 → experiments\20260526_092148_embedding\best.pt
2026-05-26 10:12:51.046 | INFO     | __main__:train:203 - Epoch  11/50 | train_loss=0.0599 | val_loss=0.0682 | val_AUC=0.9565 | lr=9.57e-05
2026-05-26 10:12:51.078 | SUCCESS  | __main__:train:215 -   New best AUC=0.9565 → experiments\20260526_092148_embedding\best.pt
2026-05-26 10:17:32.967 | INFO     | __main__:train:203 - Epoch  12/50 | train_loss=0.0570 | val_loss=0.0628 | val_AUC=0.9623 | lr=9.41e-05
2026-05-26 10:17:32.998 | SUCCESS  | __main__:train:215 -   New best AUC=0.9623 → experiments\20260526_092148_embedding\best.pt
2026-05-26 10:22:15.956 | INFO     | __main__:train:203 - Epoch  13/50 | train_loss=0.0550 | val_loss=0.0604 | val_AUC=0.9642 | lr=9.24e-05
2026-05-26 10:22:15.990 | SUCCESS  | __main__:train:215 -   New best AUC=0.9642 → experiments\20260526_092148_embedding\best.pt
2026-05-26 10:26:57.272 | INFO     | __main__:train:203 - Epoch  14/50 | train_loss=0.0523 | val_loss=0.0571 | val_AUC=0.9685 | lr=9.05e-05
2026-05-26 10:26:57.302 | SUCCESS  | __main__:train:215 -   New best AUC=0.9685 → experiments\20260526_092148_embedding\best.pt
2026-05-26 10:31:37.590 | INFO     | __main__:train:203 - Epoch  15/50 | train_loss=0.0525 | val_loss=0.0549 | val_AUC=0.9661 | lr=8.83e-05
2026-05-26 10:36:17.873 | INFO     | __main__:train:203 - Epoch  16/50 | train_loss=0.0491 | val_loss=0.0560 | val_AUC=0.9678 | lr=8.60e-05
2026-05-26 10:40:56.901 | INFO     | __main__:train:203 - Epoch  17/50 | train_loss=0.0470 | val_loss=0.0498 | val_AUC=0.9729 | lr=8.35e-05
2026-05-26 10:40:56.932 | SUCCESS  | __main__:train:215 -   New best AUC=0.9729 → experiments\20260526_092148_embedding\best.pt
2026-05-26 10:45:41.563 | INFO     | __main__:train:203 - Epoch  18/50 | train_loss=0.0471 | val_loss=0.0515 | val_AUC=0.9708 | lr=8.08e-05
2026-05-26 10:50:20.987 | INFO     | __main__:train:203 - Epoch  19/50 | train_loss=0.0462 | val_loss=0.0497 | val_AUC=0.9751 | lr=7.80e-05
2026-05-26 10:50:21.018 | SUCCESS  | __main__:train:215 -   New best AUC=0.9751 → experiments\20260526_092148_embedding\best.pt
2026-05-26 10:55:01.308 | INFO     | __main__:train:203 - Epoch  20/50 | train_loss=0.0442 | val_loss=0.0545 | val_AUC=0.9676 | lr=7.50e-05
2026-05-26 10:59:41.987 | INFO     | __main__:train:203 - Epoch  21/50 | train_loss=0.0439 | val_loss=0.0481 | val_AUC=0.9724 | lr=7.19e-05
2026-05-26 11:04:22.984 | INFO     | __main__:train:203 - Epoch  22/50 | train_loss=0.0408 | val_loss=0.0482 | val_AUC=0.9722 | lr=6.87e-05
2026-05-26 11:09:10.211 | INFO     | __main__:train:203 - Epoch  23/50 | train_loss=0.0427 | val_loss=0.0473 | val_AUC=0.9740 | lr=6.55e-05
2026-05-26 11:13:55.798 | INFO     | __main__:train:203 - Epoch  24/50 | train_loss=0.0418 | val_loss=0.0480 | val_AUC=0.9734 | lr=6.21e-05
