epoch,train_loss,val_loss,val_auc,lr
1,0.207577,0.149004,0.895609,9.99e-05
2,0.136043,0.13663,0.898633,9.961e-05
3,0.125216,0.126859,0.914456,9.911e-05
4,0.114183,0.120283,0.914833,9.843e-05
5,0.110683,0.11667,0.917781,9.755e-05
6,0.095249,0.102066,0.928788,9.988e-05
7,0.083043,0.086142,0.942959,9.951e-05
8,0.074496,0.078139,0.95115,9.891e-05
9,0.067846,0.076752,0.95242,9.806e-05
10,0.063365,0.07259,0.95583,9.698e-05
11,0.05986,0.068166,0.956482,9.568e-05
12,0.057016,0.062788,0.96231,9.415e-05
13,0.055021,0.060431,0.964226,9.24e-05
14,0.052345,0.057139,0.968474,9.045e-05
15,0.052488,0.054856,0.966139,8.83e-05
16,0.049114,0.055953,0.967781,8.597e-05
17,0.047012,0.049775,0.972886,8.346e-05
18,0.047135,0.051533,0.970775,8.078e-05
19,0.046229,0.049676,0.975105,7.796e-05
20,0.044193,0.054509,0.967602,7.5e-05
21,0.043944,0.048126,0.972439,7.192e-05
22,0.040773,0.048172,0.972235,6.873e-05
23,0.04267,0.047279,0.973973,6.545e-05
24,0.041782,0.04799,0.973424,6.21e-05
25,0.040781,0.047337,0.973989,5.868e-05
26,0.040995,0.047516,0.974781,5.523e-05
27,0.038743,0.042767,0.976297,5.174e-05
28,0.038866,0.046214,0.975337,4.826e-05
29,0.038419,0.045478,0.976162,4.477e-05
30,0.039437,0.044402,0.975833,4.132e-05
31,0.038155,0.040589,0.978258,3.79e-05
32,0.037884,0.042931,0.976322,3.455e-05
33,0.037446,0.043314,0.97664,3.127e-05
34,0.037723,0.044286,0.975952,2.808e-05
35,0.037847,0.043668,0.977265,2.5e-05
36,0.037174,0.043987,0.977194,2.204e-05
37,0.035565,0.041823,0.977634,1.922e-05
38,0.037165,0.041404,0.977288,1.654e-05
39,0.035801,0.043999,0.976895,1.403e-05
40,0.035633,0.043613,0.977541,1.17e-05
41,0.034224,0.042923,0.976353,9.55e-06
42,0.036645,0.048229,0.974746,7.6e-06
43,0.036342,0.040387,0.977528,5.85e-06
44,0.033859,0.044335,0.977131,4.32e-06
45,0.035053,0.044934,0.975867,3.02e-06
46,0.035971,0.042446,0.977426,1.94e-06
47,0.034559,0.047108,0.974744,1.09e-06
48,0.035191,0.044264,0.975368,4.9e-07
49,0.034733,0.042264,0.976432,1.2e-07
