epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,521.497,2.06279,3.8583,2.71015,1.71992,0,0.38101,0.25657,0.22374,0.14178,0.36067,0.22116,0.18814,0.09109,2.4002,4.11154,2.76066,2.03547,0,0.00996644,0.00332215,0.00996644,0.00332215,0.00996644,0.00332215,0.00996644,0.00332215
2,1003.27,1.88084,3.44531,1.97379,1.571,0,0.30197,0.26876,0.20108,0.10175,0.25564,0.23548,0.14171,0.06584,2.35397,4.01413,2.64139,2.00766,0,0.0197688,0.00658959,0.0197688,0.00658959,0.0197688,0.00658959,0.0197688,0.00658959
3,1527.38,1.90808,3.43813,1.91559,1.58936,0,0.25914,0.28298,0.18344,0.09532,0.22874,0.22314,0.12738,0.0513,2.40255,4.58828,2.60839,2.02015,0,0.0293731,0.00979104,0.0293731,0.00979104,0.0293731,0.00979104,0.0293731,0.00979104
4,2036.76,1.916,3.42072,1.85985,1.58982,0,0.38993,0.32225,0.26095,0.14366,0.40198,0.28792,0.22893,0.11688,2.35119,3.92264,2.84554,1.94896,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2561.69,1.85362,3.32884,1.76928,1.55482,0,0.38966,0.3523,0.3113,0.19276,0.3872,0.32422,0.277,0.14325,2.20047,3.78868,2.36506,1.80985,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3046.49,1.81237,3.26557,1.72066,1.52912,0,0.37309,0.35392,0.29523,0.17857,0.37435,0.32039,0.26829,0.14893,2.20357,3.70117,2.36613,1.84001,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3556.67,1.78628,3.22865,1.68455,1.51644,0,0.46082,0.39416,0.36836,0.21249,0.52706,0.31405,0.31465,0.14661,2.13308,3.63329,2.28294,1.75993,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4065.19,1.75333,3.18748,1.64785,1.49399,0,0.4751,0.39589,0.3769,0.23877,0.45579,0.36974,0.32532,0.17222,2.12001,3.5963,2.18358,1.73335,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4596.28,1.73724,3.16296,1.6235,1.48157,0,0.52089,0.43031,0.41926,0.24475,0.55366,0.3697,0.35626,0.18413,2.10116,3.54984,2.18329,1.74093,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,5101.23,1.7242,3.14791,1.60761,1.47351,0,0.44751,0.40126,0.34446,0.21729,0.42407,0.3727,0.31148,0.16949,2.10201,3.55371,2.22811,1.73428,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5636.68,1.71578,3.13726,1.5954,1.46599,0,0.4562,0.43844,0.36741,0.22617,0.45845,0.40783,0.34063,0.19094,2.04466,3.47084,2.14206,1.70993,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,6157.44,1.7026,3.11607,1.5791,1.4549,0,0.50583,0.45757,0.43921,0.27732,0.49745,0.43971,0.4097,0.22514,2.02949,3.43699,2.0988,1.70945,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,6689.08,1.68981,3.09725,1.56804,1.44946,0,0.56011,0.44291,0.45229,0.2841,0.52804,0.41783,0.41097,0.23633,2.06467,3.53238,2.13825,1.7054,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
